CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
1212240,HAMPARAN PERAK,76361,73618,149979
1212250,LABUHAN DELI,30528,29654,60182
1212260,PERCUT SEI TUAN,192178,190978,383156
1212270,BATANG KUIS,28372,27529,55901
1212280,PANTAI LABU,22318,20828,43146
1212290,BERINGIN,26574,25824,52398
1212300,LUBUK PAKAM,40099,40677,80776
1212310,PAGAR MERBAU,18254,18605,36859
1213,LANGKAT,486567,479566,966133
1213010,BOHOROK,19971,19855,39826
1213011,SERAPIT,8033,7885,15918
1213020,SALAPIAN,13043,12934,25977
1213021,KUTAMBARU,6784,6565,13349
1213030,SEI BINGAI,24007,24156,48163
1213040,KUALA,19479,19541,39020
1213050,SELESAI,34788,34296,69084
1213060,BINJAI,21493,20777,42270
1213070,STABAT,40386,41233,81619
1213080,WAMPU,20604,19977,40581
1213090,BATANG SERANGAN,18069,17296,35365
1213100,SAWIT SEBERANG,12622,12575,25197
1213110,PADANG TUALANG,23269,23521,46790
1213120,HINAI,24086,23770,47856
1213130,SECANGGANG,32718,32508,65226
1213140,TANJUNG PURA,32507,31835,64342
1213150,GEBANG,21417,21003,42420
1213160,BABALAN ,28687,27684,56371
1213170,SEI LEPAN,23758,22947,46705
1213180,BRANDAN BARAT,11313,10684,21997
1213190,BESITANG,22139,21676,43815
1213200,PANGKALAN SUSU,20746,20500,41246
1213201,PEMATANG JAYA,6648,6348,12996
1214,NIAS SELATAN,144326,145550,289876
1214010,HIBALA,4832,4806,9638
1214020,PULAU-PULAU BATU,8121,8250,16371
1214021,PULAU-PULAU BATU TIMUR,1269,1220,2489
1214030,TELUK DALAM,14232,13571,27803
1214031,FANAYAMA,10004,9625,19629
1214032,TOMA,4067,3965,8032
1214033,MANIAMOLO,6770,6493,13263
1214034,MAZINO,4129,4135,8264
1214040,AMANDRAYA,8563,8617,17180
1214041,ARAMO,3836,3848,7684
1214050,LAHUSA,17401,17763,35164
1214060,GOMO,12327,12771,25098
1214061,SUSUA,7366,7566,14932
1214062,MAZO,7284,7903,15187
1214063,UMBUNASI,3886,3934,7820
1214070,LOLOMATUA,12429,12884,25313
1214080,LOLOWA'U,14952,15257,30209
1214081,HILIMEGAI,2858,2942,5800
1215,HUMBANG HASUNDUTAN,85274,86413,171687
1215010,PAKKAT,11128,11883,23011
1215020,ONAN GANJANG,4860,4994,9854
1215030,SIJAMA POLANG,2542,2572,5114
1215040,DOLOK SANGGUL,21546,21762,43308
1215050,LINTONG NIHUTA,14681,14369,29050
1215060,PARANGINAN,6179,6277,12456
1215070,BAKTI RAJA,3387,3430,6817
1215080,POLLUNG,8808,8789,17597
1215090,PARLILITAN,8553,8754,17307
1215100,TARA BINTANG,3590,3583,7173
1216,PAKPAK BHARAT,20474,20007,40481
1216010,SALAK,3571,3640,7211
1216011,SITELLU TALI URANG JEHE,4685,4652,9337
1216012,PAGINDAR,665,545,1210
1216013,SITELLU TALI URANG JULU,1728,1653,3381
1216014,PERGETTENG-GETTENG SENGKUT,1898,1844,3742
1216020,KERAJAAN,4093,4022,8115
1216021,TINADA,1868,1771,3639
1216022,SIEMPAT RUBE,1966,1880,3846
1217,SAMOSIR ,59396,60254,119650
1217010,SIANJUR MULA MULA,4602,4529,9131
1217020,HARIAN,3867,3974,7841
1217030,SITIO-TIO,3532,3589,7121
1217040,ONAN RUNGGU,5099,5182,10281
1217050,NAINGGOLAN,5818,5952,11770
1217060,PALIPI,7937,8126,16063
1217070,RONGGUR NIHUTA,4124,4217,8341
1217080,PANGURURAN,14736,14989,29725
1217090,SIMANINDO,9681,9696,19377
1218,SERDANG BEGADAI,298130,295673,593803
1218010,KOTARIH,4054,3925,7979
1218011,SILINDA,3840,3824,7664
1218012,BINTANG BAYU,5359,5218,10577
1218020,DOLOK MASIHUL,23786,24393,48179
1218021,SERBAJADI,9676,9862,19538
1218030,SIPISPIS,16068,15465,31533
1218040,DOLOK MERAWAN,8586,8459,17045
1218050,TEBINGTINGGI,20072,20157,40229
1218051,TEBING SYAHBANDAR,16130,16048,32178
1218060,BANDAR KHALIPAH,12305,12431,24736
1218070,TANJUNG BERINGIN,18851,18021,36872
1218080,SEI RAMPAH,31990,31515,63505
1218081,SEI BAMBAN,21364,21382,42746
1218090,TELUK MENGKUDU,20709,20428,41137
1218100,PERBAUNGAN,49790,49731,99521
