0,1,2,3,4,n_cells_with_newline
3672031,JOMBANG,30 935,"29 424
",60 359,1
3673040,SERANG,"105 912
 ",101 153,207 065,1
3673060,"KASEMEN
",45 740,42 054,87 794,1
3674020,"SERPONG
 ",68 129,69 269,137 398,1
5102012,SELEMADEG BARAT,9 352,"9 422
",18 774,1
5102080,PUPUAN,"19 158
 ",19 163,38 321,1
5103,"BADUNG
",277 557,266 124,543 681,1
5103040,"MENGWI
 ",62 148,60 710,122 858,1
5108030,BUSUNGBIU,19 671,"19 848
",39 519,1
5108090,TEJAKULA,"27 232
 ",26 572,53 804,1
5171,"KOTA DENPASAR
",403 026,385 419,788 445,1
5201060,GUNUNG SARI,38 774,"39 834
",78 608,1
5202030,PRAYA TIMUR,"29 904
 ",32 768,62 672,1
5202050,"KOPANG
",34 692,40 916,75 608,1
5202080,"PRINGGARATA
 ",29 881,32 898,62 779,1
5204080,SUMBAWA,28 394,"28 255
",56 649,1
5204111,LENANGGUAR,"3 298
 ",2 988,6 286,1
5204121,"LAPE
",8 263,7 868,16 131,1
5204131,"LABANGKA
 ",5 237,4 911,10 148,1
5207010,SEKONGKANG,4 172,"4 015
",8 187,1
5207051,POTO TANO,"4 695
 ",4 563,9 258,1
5208,"LOMBOK UTARA
",98 623,101 281,199 904,1
5208040,"KAYANGAN
 ",18 314,19 087,37 401,1
5302011,NGGAHA ORIANGU,4 377,"4 285
",8 662,1
5302031,KARERA,"3 777
 ",3 581,7 358,1
5302033,"KAHAUNGU ETI
",4 189,3 989,8 178,1
5302041,"WULA WAIJELU
 ",3 573,3 342,6 915,1
5304,TIMOR TENGAH SELATAN,218 015,"222 455
",440 470,1
5304021,POLEN,"6 725
 ",6 871,13 596,1
5304030,"KOTA SOE
",19 946,19 151,39 097,1
5304042,"KUATNANA
 ",7 435,7 360,14 795,1
5305040,INSANA,8 936,"9 157
",18 093,1
5305051,BIBOKI TANPAH,"2 624
 ",2 710,5 334,1
5305060,"BIBOKI UTARA
",5 136,5 117,10 253,1
5306,"BELU
 ",174 143,178 257,352 400,1
5307040,ALOR TIMUR,3 740,"3 777
",7 517,1
5307062,PULAU PURA,"2 396
 ",2 662,5 058,1
5308,"LEMBATA
",55 256,62 382,117 638,1
5308020,"ATADEI
 ",3 409,4 134,7 543,1
5310031,DORENG,5 349,"5 887
",11 236,1
5310052,KANGAE,"7 515
 ",8 932,16 447,1
5310062,"KOTING
",2 981,3 380,6 361,1
5310071,"MAGEPANDA
 ",5 575,5 871,11 446,1
5312081,RIUNG BARAT,3 957,"3 803
",7 760,1
5313120,RUTENG,"19 142
 ",19 808,38 950,1
5313122,"LELAK
",5 354,5 465,10 819,1
5314,"ROTE NDAO
 ",61 147,58 564,119 711,1
5317070,WEWEWA UTARA,5 937,"5 712
",11 649,1
5318040,BOAWAE,"16 610
 ",17 185,33 795,1
5318060,"AESESA
",16 943,16 953,33 896,1
5319010,"BORONG
 ",30 296,31 181,61 477,1
6101041,SUBAH,9 155,"8 513
",17 668,1
6101062,TANGARAN,"9 786
 ",10 956,20 742,1
6101080,"SAJINGAN BESAR
",5 363,4 518,9 881,1
6102010,"SUNGAI RAYA
 ",9 051,8 992,18 043,1
6104081,SEGEDONG,10 122,"10 103
",20 225,1
6104121,SADANIANG,"5 467
 ",4 683,10 150,1
6105,"SANGGAU
",211 304,196 685,407 989,1
6105070,"MUKOK
 ",9 371,8 894,18 265,1
6107,SINTANG,187 667,"176 185
",363 852,1
6107140,SINTANG,"30 007
 ",29 027,59 034,1
6107160,"KAYAN HILIR
",12 566,11 703,24 269,1
6107190,"KETUNGAU HILIR
 ",10 606,9 872,20 478,1
6109050,BELITANG HILIR,10 706,"9 781
",20 487,1
6110020,TANAH PINOH,"7 320
 ",6 991,14 311,1
6110040,"BELIMBING
",10 442,9 646,20 088,1
6110051,"PINOH SELATAN
 ",5 062,4 804,9 866,1
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
